Nombre,Tipo de dato,Default Task,Atributos,Instancias,Numero de atributos
wiki4HE,Multivariate ,"Regression, Clustering, Causal-Discovery ", ,913 ,53 
Online Video Characteristics and Transcoding Time Dataset,Multivariate ,Regression ,"Integer, Real ",168286 ,11 
Chronic_Kidney_Disease,Multivariate ,Classification ,Real ,400 ,25 
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series ",Classification ,Real ,314080 ,0 
Folio,Multivariate ,"Classification, Clustering ", ,637 ,20 
"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory ","Clustering, Causal-Discovery ",Real ,1710671 ,9 
Cuff-Less Blood Pressure Estimation,Multivariate ,"Classification, Regression ",Real ,12000 ,3 
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series ",Classification ,Real ,10929 ,561 
Mice Protein Expression,Multivariate ,"Classification, Clustering ",Real ,1080 ,82 
UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ","Integer, Real ",40000 ,13 
Heterogeneity Activity Recognition,"Multivariate, Time-Series ","Classification, Clustering ",Real ,43930257 ,16 
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Integer ,230318 ,13 
HEPMASS,Multivariate ,Classification ,Real ,10500000 ,28 
Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series ",Classification ,Real ,13197 ,4 
Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Integer , , 
default of credit card clients,Multivariate ,Classification ,"Integer, Real ",30000 ,24 
Mesothelioma’s disease data set ,Multivariate ,Classification ,Real ,324 ,34 
Online Retail,"Multivariate, Sequential, Time-Series ","Classification, Clustering ","Integer, Real ",541909 ,8 
SIFT10M,Multivariate ,Causal-Discovery ,Integer ,11164866 ,128 
GPS Trajectories,Multivariate ,"Classification, Regression ",Real ,163 ,15 
Detect Malacious Executable(AntiVirus),Multivariate ,Classification ,Real ,373 ,513 
Occupancy Detection ,"Multivariate, Time-Series ",Classification ,Real ,20560 ,7 
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,Multivariate ,"Classification, Regression, Clustering ",Real ,40 ,7 
News Aggregator,Multivariate ,"Classification, Clustering ", ,422937 ,5 
Air Quality,"Multivariate, Time-Series ",Regression ,Real ,9358 ,15 
